index,text,Diacterized,Buckwalter,Cleaned_Text
10143,للاقتصاد العالمي,لِلِاقْتِصادِ العالَميِّ,liliAqotiSAdi AlEAlamy~i,llaqtsad alealmy
10144,وبالتالي لازم المركزي الياباني,وَبِالتّالي لازِمَ المَرْكَزيُّ اليابانيُّ,wabiAlt~Aly lAzima Almarokazy~u AlyAbAny~u,wbaltaly lazm almrkzyu alyabanyu
10145,يرفع سعر الفايدة بمزاجه,يَرْفَعُ سِعْرُ الفايِدَةِ بِمِزاجِهِ,yarofaEu siEoru AlfAyidapi bimizAjihi,yrfeu seru alfaydt bmzajh
10146,أو غصبا عنه,أَوْ غَصْبًا عَنْهُ,>awo gaSobFA Eanohu,aw ghsba enhu
10147,اللي تفرج منكم على حلقتنا المهمة جدا,اللّي تُفْرِجُ مِنْكُمْ عَلَى حلقتنا المُهِمَّةِ جِدًّا,All~y tuforiju minokumo EalaY HlqtnA Almuhim~api jid~FA,ally tufrju mnkum ela hlqtna almuhmt jda
10148,لماذا لا ترتفع الأسعار في اليابان,لِماذا لا تَرْتَفِعُ الأَسْعارُ في اليابانِ,limA*A lA tarotafiEu Al>asoEAru fy AlyAbAni,lmadha la trtfeu alasearu fy alyaban
10149,أكيد بقى فاهم إن سبب عدم رفع,أَكيدٌ بَقَّى فاهِمٍ إِنَّ سَبَبَ عَدَمِ رَفْعِ,>akydN baq~aY fAhimK <in~a sababa Eadami rafoEi,akyd bqa fahm in sbb edm rfe
10150,المركزي الياباني لأسعار الفايدة في اليابان,المَرْكَزيُّ اليابانيُّ لِأَسْعارِ الفايِدَةِ في اليابانِ,Almarokazy~u AlyAbAny~u li>asoEAri AlfAyidapi fy AlyAbAni,almrkzyu alyabanyu lasear alfaydt fy alyaban
10151,هو خوفه من إنه يأثر بشكل سلبي,هوَ خَوْفُهُ مِنْ إِنَّهُ يَأْثَرُ بِشَكْلٍ سَلْبيٍّ,hwa xawofuhu mino <in~ahu ya>ovaru bi$akolK saloby~K,hw khwfuhu mn inhu yathru bshkl slby
10152,على الإنفاق الاستهلاكي لليابانيين,عَلَى الإِنْفاقِ الِاسْتِهْلاكيِّ لِلْيابّانيّينَ,EalaY Al<inofAqi AliAsotiholAky~i liloyAb~Any~yna,ela alinfaq alasthlaky llyabanyyn
10153,بنك اليابان نفسه إن اليابانيين إنفاقهم يزيد,بَنْكُ اليابانِ نَفْسَهُ إِنَّ اليابانيّينَ إِنْفاقِهِمْ يَزيدُ,banoku AlyAbAni nafosahu <in~a AlyAbAny~yna <inofAqihimo yazydu,bnku alyaban nfshu in alyabanyyn infaqhm yzydu
10154,وعلشان يحفزهم على دا,وَعَلَشانَ يُحَفِّزُهُمْ عَلَى دا,waEala$Ana yuHaf~izuhumo EalaY dA,welshan yuhfzuhum ela da
10155,بيخلي سعر الفايدة منخفض جدا,بيُخَلّيَ سِعْرِ الفايِدَةِ مُنْخَفِضٌ جِدًّا,byuxal~ya siEori AlfAyidapi munoxafiDN jid~FA,byukhly ser alfaydt munkhfd jda
10156,أو يكاد يكون منعدم,أَوْ يَكادُ يَكونُ مُنْعَدِمٌ,>awo yakAdu yakwnu munoEadimN,aw ykadu ykwnu munedm
10157,علشان ما يروحوش يدخروا فلوسهم,عَلَشانِ ما يروحوشْ يَدَّخِروا فَلوسْهُمْ,Eala$Ani mA yrwHw$o yad~axirwA falwsohumo,elshan ma yrwhwsh ydkhrwa flwshum
10158, في البنوك,في البُنوكِ,fy Albunwki,fy albunwk
10159,بدل ما يصرفوها,بَدَلَ ما يصرفوها,badala mA ySrfwhA,bdl ma ysrfwha
10160,ويحركوا الاقتصاد,وَيُحَرِّكوا الِاقْتِصادَ,wayuHar~ikwA AliAqotiSAda,wyuhrkwa alaqtsad
10161,لو راح رفع سعر الفايدة,لَوْ راحَ رَفْعَ سِعْرِ الفايِدَةِ,lawo rAHa rafoEa siEori AlfAyidapi,lw rah rfe ser alfaydt
10162,الناس حتجري على البنوك وتحط فلوسها هناك,النّاسُ حتجري عَلَى البُنوكِ وَتَحُطُّ فُلوسَها هُناكَ,Aln~Asu Htjry EalaY Albunwki wataHuT~u fulwsahA hunAka,alnasu htjry ela albunwk wthutu fulwsha hunak
10163,وإنفاقهم الاستهلاكي حيقل,وَإِنْفاقُهُمْ الِاسْتِهْلاكيُّ حيقلْ,wa<inofAquhumo AliAsotiholAky~u Hyqlo,winfaquhum alasthlakyu hyql
10164,وبالتالي معدل التضخم حيبقى سالب,وَبِالتّالي مُعَدَّلُ التَّضَخُّمِ حيبقى سالِبَ,wabiAlt~Aly muEad~alu Alt~aDax~umi HybqY sAliba,wbaltaly muedlu altdkhum hybqa salb
10165,وحندخل في انكماش,وحندخلْ في انْكِماشٍ,wHndxlo fy AnokimA$K,whndkhl fy ankmash
10166,واحد حيقول لي بس معدل التضخم في اليابان,واحِدُ حيقولْ لي بَسَّ مُعَدَّلُ التَّضَخُّمِ في اليابانِ,wAHidu Hyqwlo ly bas~a muEad~alu Alt~aDax~umi fy AlyAbAni,wahdu hyqwl ly bs muedlu altdkhum fy alyaban
10167,وصل بالفعل في أبريل اللي فات,وَصَلَ بِالْفِعْلِ في أَبْريلَ اللّي فاتَ,waSala biAlofiEoli fy >aboryla All~y fAta,wsl balfel fy abryl ally fat
10168,للنسبة اللي بيحلم بيها بنك اليابان,لِلنِّسْبَةِ اللّي بيَحْلُمُ بيها بَنْكَ اليابانِ,liln~isobapi All~y byaHolumu byhA banoka AlyAbAni,llnsbt ally byhlumu byha bnk alyaban
10169,بقى له سنين,بَقَّى لَهُ سِنينَ,baq~aY lahu sinyna,bqa lhu snyn
10170,طالما التضخم وصل للنسبة اللي هو عاوزها,طالَما التَّضَخُّمُ وَصَلَ لِلنِّسْبَةِ اللّي هوَ عاوِزُها,TAlamA Alt~aDax~umu waSala liln~isobapi All~y hwa EAwizuhA,talma altdkhumu wsl llnsbt ally hw eawzuha
10171,ليه بقى ما يحركش سعر الفايدة ,ليهْ بَقَّى ما يُحَرْكِشُ سِعْرُ الفايِدَةِ,lyho baq~aY mA yuHaroki$u siEoru AlfAyidapi,lyh bqa ma yuhrkshu seru alfaydt
10172,ودا سؤال وجيه جدا,وُدًّا سُؤالَ وَجيهٌ جِدًّا,wud~FA su&Ala wajyhN jid~FA,wuda suwal wjyh jda
10173,ورد المركزي الياباني عليه ببساطة,وَرَدَ المَرْكَزيُّ اليابانيُّ عَلَيْهِ بِبَساطَةٍ,warada Almarokazy~u AlyAbAny~u Ealayohi bibasATapK,wrd almrkzyu alyabanyu elyh bbsatt
10174,هو إن معدل التضخم بتاع أبريل اللي فات دا,هوَ إِنَّ مُعَدَّلَ التَّضَخُّمِ بِتاعَ أَبْريلَ اللّي فاتَ دا,hwa <in~a muEad~ala Alt~aDax~umi bitAEa >aboryla All~y fAta dA,hw in muedl altdkhum btae abryl ally fat da
10175,كان كدا وكدا,كانَ كَدا وكَدا,kAna kadA wkadA,kan kda wkda
10176,أي كلام يعني,أَيْ كَلامٍ يَعْني,>ayo kalAmK yaEony,ay klam yeny
10177,باختصار,بِاخْتِصارٍ,biAxotiSArK,bakhtsar
10178,تضخم الأسعار في اليابان خلال أبريل اللي فات,تَضَخُّمُ الأَسْعارِ في اليابانِ خِلالَ أَبْريلَ اللّي فاتَ,taDax~umu Al>asoEAri fy AlyAbAni xilAla >aboryla All~y fAta,tdkhumu alasear fy alyaban khlal abryl ally fat
10179,كان نتيجة التضخم المستورد,كانَ نَتيجَةَ التَّضَخُّمِ المُسْتَوْرَدِ,kAna natyjapa Alt~aDax~umi Almusotaworadi,kan ntyjt altdkhum almustwrd
10180,أسعار الوقود والأكل اللي اليابان بتستورده,أَسْعارُ الوَقودِ والْأَكْلِ اللّي اليابانَ بِتَسْتَوْرِدَهُ,>asoEAru Alwaqwdi wAlo>akoli All~y AlyAbAna bitasotaworidahu,asearu alwqwd walakl ally alyaban btstwrdhu
10181,زادت فارتفع التضخم,زادَتْ فارْتَفَعَ التَّضَخُّمُ,zAdato fArotafaEa Alt~aDax~umu,zadt fartfe altdkhumu
10182,ولكن مش دا التضخم اللي بنك اليابان عاوزه,وَلَكِنْ مَشْ دا التَّضَخُّمِ اللّي بَنْكَ اليابانِ عاوِزُهُ,walakino ma$o dA Alt~aDax~umi All~y banoka AlyAbAni EAwizuhu,wlkn msh da altdkhum ally bnk alyaban eawzuhu
10183,هو عاوز تضخم من التاني,هوَ عاوِزُ تَضَخُّمٍ مِنْ التّاني,hwa EAwizu taDax~umK mino Alt~Any,hw eawzu tdkhum mn altany
10184,التضخم اللي بيكون نتيجة,التَّضَخُّمُ اللّي بيكونْ نَتيجَةً,Alt~aDax~umu All~y bykwno natyjapF,altdkhumu ally bykwn ntyjt
10185,ارتفاع حجم الإنفاق الاستهلاكي,ارْتِفاعُ حَجْمِ الإِنْفاقِ الِاسْتِهْلاكيِّ,ArotifAEu Hajomi Al<inofAqi AliAsotiholAky~i,artfaeu hjm alinfaq alasthlaky
10186,ونمو الأجور,وَنُموُّ الأُجورِ,wanumw~u Al>ujwri,wnumwu alaujwr
10187,ودا ما حصلش,وُدًّا ما حصلشْ,wud~FA mA HSl$o,wuda ma hslsh
10188,ورفع سعر الفايدة في الوقت دا,وَرَفْعَ سِعْرُ الفايِدَةِ في الوَقْتِ دا,warafoEa siEoru AlfAyidapi fy Alwaqoti dA,wrfe seru alfaydt fy alwqt da
10189,حيخلي تحقيق النوع دا من التضخم مستحيل,حيخلي تَحْقيقِ النَّوْعِ دا مِنْ التَّضَخُّمِ مُسْتَحيلٌ,Hyxly taHoqyqi Aln~awoEi dA mino Alt~aDax~umi musotaHylN,hykhly thqyq alnwe da mn altdkhum musthyl
10190,صدر بيان عن بنك اليابان,صَدَرَ بَيانٌ عَنْ بَنْكِ اليابانِ,Sadara bayAnN Eano banoki AlyAbAni,sdr byan en bnk alyaban
10191,أكد فيه محافظ البنك,أَكَّدَ فيهِ مُحافِظُ البَنْكِ,>ak~ada fyhi muHAfiZu Albanoki,akd fyh muhafzu albnk
10192,هاروهيكو كورودا,هاروهيكو كورودا,hArwhykw kwrwdA,harwhykw kwrwda
10193,إن البنك ملتزم بسياسة التحكم,إِنَّ البَنْكَ مُلْتَزِمٌ بِسياسَةِ التَّحَكُّمِ,<in~a Albanoka mulotazimN bisyAsapi Alt~aHak~umi,in albnk multzm bsyast althkum
10194,في منحنى العائد,في مُنْحَنًى العائِدِ,fy munoHanFY AlEA}idi,fy munhna aleayd
10195,مش حيحرك سعر الفايدة,مَشْ حيحركْ سِعْرِ الفايِدَةِ,ma$o HyHrko siEori AlfAyidapi,msh hyhrk ser alfaydt
10196,خطوة واحدة من مكانها,خُطْوَةٌ واحِدَةٌ مِنْ مَكانِها,xuTowapN wAHidapN mino makAnihA,khutwt wahdt mn mkanha
10197,وحتفضل قريبة من الصفر,وحتفضلْ قَريبَةٌ مِنْ الصِّفْرِ,wHtfDlo qarybapN mino AlS~ifori,whtfdl qrybt mn alsfr
10198,باختصار كدا دا لسان حال الراجل,بِاخْتِصارٍ كَدا دا لِسانِ حالِ الرّاجِلِ,biAxotiSArK kadA dA lisAni HAli Alr~Ajili,bakhtsar kda da lsan hal alrajl
10199,هو دا آخر كلام عندنا,هوَ دا آخِرُ كَلامِ عِنْدَنا,hwa dA |xiru kalAmi EinodanA,hw da akhru klam endna
10200,واللي يعرف يعمل معانا حاجة يعملها,واللّي يُعْرَفُ يَعْمَلَ مُعانًا حاجَةٍ يَعْمَلْها,wAll~y yuEorafu yaEomala muEAnFA HAjapK yaEomalohA,wally yuerfu yeml mueana hajt yemlha
10201,ودا يخليك تسأل نفسك سؤال مهم جدا,وُدًّا يخليكْ تَسْأَلُ نَفْسَكَ سُؤالٌ مُهِمٌّ جِدًّا,wud~FA yxlyko taso>alu nafosaka su&AlN muhim~N jid~FA,wuda ykhlyk tsalu nfsk suwal muhm jda
10202,المركزي الياباني جايب الثقة دي منين ,المَرْكَزيُّ اليابانيُّ جايِبَ الثِّقَةَ دي مُنينَ,Almarokazy~u AlyAbAny~u jAyiba Alv~iqapa dy munyna,almrkzyu alyabanyu jayb althqt dy munyn
10203,وهل دي ثقة فعلا وللا عند ,وَهَلْ دي ثِقَةٌ فِعْلًا وَلِلا عِنْدَ,wahalo dy viqapN fiEolFA walilA Einoda,whl dy thqt fela wlla end
10204,يعني البيان دا,يَعْني البَيانُ دا,yaEony AlbayAnu dA,yeny albyanu da
10205,في الأسبوع اللي انتهى في نفس اليوم,في الأُسْبوعِ اللّي انْتَهَى في نَفْسِ اليَوْمِ,fy Al>usobwEi All~y AnotahaY fy nafosi Alyawomi,fy alausbwe ally antha fy nfs alywm
10206,من السندات اليابانية,مِنْ السَّنَداتِ اليابانيَّةِ,mino Als~anadAti AlyAbAny~api,mn alsndat alyabanyt
10207,ودي أكبر تدفقات خارجة,وُدّيٌّ أَكْبَرُ تَدَفُّقاتٍ خارِجَةٍ,wud~y~N >akobaru tadaf~uqAtK xArijapK,wudy akbru tdfuqat kharjt
10208,من سوق السندات الياباني,مِنْ سوقِ السَّنَداتِ اليابانيِّ,mino swqi Als~anadAti AlyAbAny~i,mn swq alsndat alyabany
10209,واللي بيبيع السندات دي,واللّيْ بيَبيعَ السَّنَداتِ دي,wAll~yo byabyEa Als~anadAti dy,wally bybye alsndat dy
10210,وبيراهن ضد اليابانيين,وَبيرًاُهُنَّ ضِدَّ اليابانيّينَ,wabyrFAuhun~a Did~a AlyAbAny~yna,wbyrauhun dd alyabanyyn
10211,صناديق وشركات تقيلة,صَناديقُ وَشَرِكاتٌ تَقيِلَةٌ,SanAdyqu wa$arikAtN taqyilapN,snadyqu wshrkat tqylt
10212,تحت إيديها تريليونات الدولارات,تَحْتَ إيديها تِريلْيوناتِ الدّولاراتِ,taHota <ydyhA tiryloywnAti Ald~wlArAti,tht iydyha trylywnat aldwlarat
10213,إزاي كل دا مش عامل قلق لليابانيين,إِزاي كُلٌّ دا مَشْ عامِلَ قَلَقِ لِلْيابّانيّينَ,<izAy kul~N dA ma$o EAmila qalaqi liloyAb~Any~yna,izay kul da msh eaml qlq llyabanyyn
10214,وليه مصممين على موقفهم ,وَليّهِ مُصَمِّمينَ عَلَى مَوْقِفِهِمْ,waly~hi muSam~imyna EalaY mawoqifihimo,wlyh musmmyn ela mwqfhm
10215,السؤال دا أفضل واحد جاوب عليه,السُّؤالُ دا أَفْضَلُ واحِدٍ جاوِبَ عَلَيْهِ,Als~u&Alu dA >afoDalu wAHidK jAwiba Ealayohi,alsuwalu da afdlu wahd jawb elyh
10216,من وجهة نظري,مِنْ وُجْهَةِ نَظَري,mino wujohapi naZary,mn wujht nzry
10217,الرئيس التنفيذي للاستثمار,الرَّئيسُ التَّنْفيذيُّ لِلِاسْتِثْمارِ,Alr~a}ysu Alt~anofy*y~u liliAsotivomAri,alryysu altnfydhyu llastthmar
10218,الرهان ضد المركزي الياباني,الرِّهانُ ضِدَّ المَرْكَزيِّ اليابانيِّ,Alr~ihAnu Did~a Almarokazy~i AlyAbAny~i,alrhanu dd almrkzy alyabany
10219,أو صانع الأرامل من فراغ,أَوْ صانِعِ الأَرامِلِ مِنْ فَراغٍ,>awo SAniEi Al>arAmili mino farAgK,aw sane alaraml mn fragh
10220,أنا ما عنديش استعداد أراهن بفلوسي,أَنا ما عنديشْ اسْتِعْدادٍ أَراهِنَ بِفُلوسَي,>anA mA Endy$o AsotiEodAdK >arAhina bifulwsay,ana ma endysh astedad arahn bfulwsy
10221,ضد المطبعة بتاعة المركزي الياباني,ضِدَّ المَطْبَعَةِ بِتاعِةِ المَرْكَزيِّ اليابانيِّ,Did~a AlmaTobaEapi bitAEipi Almarokazy~i AlyAbAny~i,dd almtbet btaet almrkzy alyabany
10222,من الآخر كدا,مِنْ الآخَرِ كَدا,mino Al|xari kadA,mn alakhr kda
10223,بنك اليابان يقدر يطبع,بَنْكُ اليابانِ يُقَدَّرُ يُطْبَعُ,banoku AlyAbAni yuqad~aru yuTobaEu,bnku alyaban yuqdru yutbeu
10224,أي كميات من الين,أَيْ كَمّيّاتٍ مِنْ اليِنَ,>ayo kam~y~AtK mino Alyina,ay kmyat mn alyn
10225,لحد ما يخسر الكل,لِحَدٌّ ما يَخْسَرُ الكُلُّ,liHad~N mA yaxosaru Alkul~u,lhd ma ykhsru alkulu
10226,وكله يجيب ورا,وَكَّلَهُ يُجيبُ وَرا,wak~alahu yujybu warA,wklhu yujybu wra
10227,ويتراجع عن الهجوم على السندات اليابانية,وَيَتَراجَعُ عَنْ الهُجومِ عَلَى السَّنَداتِ اليابانيَّةِ,wayatarAjaEu Eano Alhujwmi EalaY Als~anadAti AlyAbAny~api,wytrajeu en alhujwm ela alsndat alyabanyt
10228,الجزء الأخير دا من تصريحات سينج,الجُزْءُ الأَخيرَ دا مِنْ تَصْريحاتٍ سَيَنْجُ,Aljuzo'u Al>axyra dA mino taSoryHAtK sayanoju,aljuzeu alakhyr da mn tsryhat synju
10229,واللي يخص مسألة الطباعة,واللّي يَخُصُّ مَسْأَلَةَ الطِّباعَةِ,wAll~y yaxuS~u maso>alapa AlT~ibAEapi,wally ykhusu msalt altbaet
10230,هو الأهم,هوَ الأَهَمُّ,hwa Al>aham~u,hw alahmu
10231,لإنه بيتكلم عن الطريقة,لِإِنّْهُ بيَتَكَلَّمُ عَنْ الطَّريقَةِ,li<in~ohu byatakal~amu Eano AlT~aryqapi,linhu bytklmu en altryqt
10232,اللي البنك المركزي الياباني,اللّي البَنْكُ المَرْكَزيُّ اليابانيُّ,All~y Albanoku Almarokazy~u AlyAbAny~u,ally albnku almrkzyu alyabanyu
10233,بيواجه بيها الصناديق,بيواجْهِ بيها الصَّناديقَ,bywAjohi byhA AlS~anAdyqa,bywajh byha alsnadyq
10234,اللي بتراهن ضد السندات اليابانية,اللّي بِتُراهِنُ ضِدَّ السَّنَداتِ اليابانيَّةِ,All~y biturAhinu Did~a Als~anadAti AlyAbAny~api,ally bturahnu dd alsndat alyabanyt
10235,وبتبيعها على المكشوف,وَبِتَبيعِها عَلَى المَكْشوفِ,wabitabyEihA EalaY Almako$wfi,wbtbyeha ela almkshwf
10236,اللي بيحصل كالتالي يا شباب,اللّي بيَحْصُلُ كالتّالي يا شَبابُ,All~y byaHoSulu kAlt~Aly yA $abAbu,ally byhsulu kaltaly ya shbabu
